HTTPClient HTTPClient
org.jini.maven-jini-plugin maven-jini-plugin
org.jinterop j-interop
org.jinterop j-interopdeps
org.jlibsedml jlibsedml
org.jmathml jmathml
org.jmeld jmeld
org.jmesa jmesa
org.joda joda-beans
org.joda joda-money
org.joda joda-primitives
org.jopendocument isorelax-jaxp-bridge-ILM
org.jopendocument jdom
org.jopendocument ognl-engine
org.jopendocument rhino
org.jostraca jostraca
org.jproggy Snippetory
org.jretrofit jretrofit
org.jrobin jrobin
org.jruby jrubyparser
org.jruby.util bytelist
org.jruby.warbler warbler-embedded-jetty
org.jsdoctoolkit jsdoctoolkit-ant-task
org.jsefa jsefa
org.json org.json
org.json4s json4s-core_2.9.2
org.json4s json4s-jackson_2.9.2
org.json4s json4s-native_2.9.2
org.json4s json4s-scalaz_2.9.2
org.junithelper junithelper-core
org.junithelper maven-junithelper-plugin
org.jvending.registry registry-j2se
org.jvnet animal-sniffer-annotation
org.jvnet.com4j maven-com4j-plugin
org.jvnet.hudson activation
org.jvnet.hudson commons-jelly-tags-define
org.jvnet.hudson droovy
org.jvnet.hudson ganymed-ssh-2
org.jvnet.hudson ganymed-ssh2
org.jvnet.hudson guice
org.jvnet.hudson ivy
org.jvnet.hudson jtidy
org.jvnet.hudson license
org.jvnet.hudson org.suigeneris.jrcs.diff
org.jvnet.hudson org.suigeneris.jrcs.rcs
org.jvnet.hudson typica
org.jvnet.hudson vijava
org.jvnet.hudson.jackson jackson
org.jvnet.hudson.plugins.mercurial ini4j
org.jvnet.hudson.plugins.vss vss-api
org.jvnet.hudson.tools nabaztag
org.jvnet.hypercompass hypercompass-compass-configuration
org.jvnet.hypercompass hypercompass-compass-customizations
org.jvnet.hypercompass hypercompass-compass-mapping
org.jvnet.hypercompass hypercompass-core
org.jvnet.hypercompass hypercompass-shared
org.jvnet.hypercompass hypercompass-testing
org.jvnet.hyperjaxb3 hyperjaxb3-ejb-samples-po-maven-jaxb2-plugin
org.jvnet.hyperjaxb3 hyperjaxb3-hibernate-sample
org.jvnet.hyperjaxb3 hyperjaxb3-hibernate-sample-ant
org.jvnet.jax-ws-commons smtp
org.jvnet.jax_ws_commons guicemanaged
org.jvnet.jaxb2-commons property-listener-injector
org.jvnet.jaxb2-commons xpath-tracker
org.jvnet.jaxb2_commons jaxb2-commons-lang
org.jvnet.jaxb2_commons jaxb2-default-value
org.jvnet.jaxb2_commons jaxb2-fluent-api
org.jvnet.jaxb2_commons jaxb2-namespace-prefix
org.jvnet.jaxb2_commons jaxb2-value-constructor
org.jvnet.jaxbcommons jaxbcommons-sample-po-final
org.jvnet.jaxbcommons jaxbcommons-samples
org.jvnet.mcvp maven-css-validator-plugin
org.jvnet.mcvp maven-css-validator-plugin-project
org.jvnet.ogc context-v_1_1_1
org.jvnet.ogc context-v_1_1_1-schema
org.jvnet.ogc filter-v_2_0_0
org.jvnet.ogc filter-v_2_0_0-schema
org.jvnet.ogc oasis
org.jvnet.ogc oasis-common
org.jvnet.ogc ols-v_1_2_1
org.jvnet.ogc ols-v_1_2_1-schema
org.jvnet.ogc sps-v_2_0_0
org.jvnet.ogc sps-v_2_0_0-schema
org.jvnet.ogc swecommon-v_2_0_0
org.jvnet.ogc swecommon-v_2_0_0-schema
org.jvnet.ogc swes
org.jvnet.ogc swes-common
org.jvnet.ogc swes-v_2_0_0
org.jvnet.ogc swes-v_2_0_0-schema
org.jvnet.ogc w3c
org.jvnet.ogc w3c-common
org.jvnet.ogc wmts
org.jvnet.ogc wmts-common
org.jvnet.ogc ws-addressing
org.jvnet.ogc ws-addressing-schema
org.jvnet.ogc ws-notification
org.jvnet.ogc ws-notification-schema
org.jvnet.opendmk jmxremote_optional
org.jvnet.transcoder transcoder-tests
org.jxta.platform jxta
org.jzkit a2j
org.karora cooee
org.kathrynhuxtable.maven.plugins docbkx-wrapper-plugin
org.khronos opengl-api
org.kikini kikini-utils
org.knowhowlab.osgi jmx
org.knowhowlab.osgi monitoradmin
org.kohsuke asm2
org.kohsuke asm3
org.kohsuke asm4
org.kohsuke graph-layouter
org.kohsuke parallel-junit
org.kohsuke trilead-putty-extension
org.kohsuke.droovy groovy
org.kohsuke.droovy groovy-all
org.kohsuke.jetbrains annotations
org.kohsuke.jinterop j-interop
org.kohsuke.jinterop j-interopdeps
org.kohsuke.redstone redstone
org.krysalis krysalis-barcode
org.kuali kuali-foo
org.kubek2k.mockito.spring springockito
org.lesscss lesscss
org.lesscss lesscss-maven-plugin
org.lifty lifty-engine_2.8.1
org.linuxmce JavaDCE
org.liquibase.ext liquibase-hibernate
org.liquibase.ext liquibase-mssql
org.liquibase.ext liquibase-oracle
org.littleshoot geoip
org.littleshoot littleproxy
org.littleshoot mina-port
org.log5f log5f-fp10.1
org.log5f main
org.mantamq manta
org.markdownj markdownj
org.mashupbots.socko socko-webserver_2.9.1
org.mat ldapmorecontrols
org.meruvian.midas midas-archetype-blank
org.meruvian.yama yama-archetypes
org.meruvian.yama yama-webapp
org.microemu microemulator-app-swing
org.milyn jackson
org.milyn smooks-examples
org.milyn.thirdparty jackson
org.mindrot jbcrypt
org.mithrim.epf mithrim-epf
org.mobicents mobicents-cli
org.mobicents.external.freetts cmu_time_awb
org.mobicents.external.freetts cmu_us_kal
org.mobicents.external.freetts cmudict04
org.mobicents.external.freetts cmulex
org.mobicents.external.freetts cmutimelex
org.mobicents.external.freetts en_us
org.mobicents.external.freetts freetts
org.mobicents.maven.plugins maven-slee-du-plugin
org.mobicents.media mscontrol
org.mobicents.media.hardware mobicents-dahdi-parent
org.mobicents.media.hardware mobicents-media-hardware
org.mobicents.media.resources resources
org.mobicents.protocols.asn asn-parent
org.mobicents.protocols.ss7.hardware mobicents-dahdi-parent
org.mobicents.servlet.sip.example call-blocking
org.mobicents.servlet.sip.example call-forwarding
org.mobicents.servlet.sip.example chatroom-servlet
org.mobicents.servlet.sip.example click-to-call-servlet
org.mobicents.servlet.sip.example location-service
org.mobicents.servlet.sip.example media-playback-servlet
org.mobicents.servlet.sip.example simple-sip-servlet
org.mobicents.servlet.sip.example speed-dial
org.mobicents.servlet.sip.example uac-register
org.mobicents.servlet.sip.examples alerting-app-parent
org.mobicents.slee.media media-rtp
org.mobicents.slee.resource.smack smack
org.mobicents.slee.resource.smack smackx
org.mobicents.slee.resource.smack smackx-jingle
org.mockejb mockejb
org.mod4j.com.google collect
org.mod4j.com.google.inject guice
org.mod4j.com.ibm icu
org.mod4j.org junit
org.mod4j.org.antlr runtime
org.mod4j.org.apache.commons cli
org.mod4j.org.apache.commons lang
org.mod4j.org.apache.commons logging
org.mod4j.org.eclipse help
org.mod4j.org.eclipse jface
org.mod4j.org.eclipse osgi
org.mod4j.org.eclipse swt
org.mod4j.org.eclipse text
org.mod4j.org.eclipse ui
org.mod4j.org.eclipse.compare core
org.mod4j.org.eclipse.core commands
org.mod4j.org.eclipse.core contenttype
org.mod4j.org.eclipse.core databinding
org.mod4j.org.eclipse.core expressions
org.mod4j.org.eclipse.core filebuffers
org.mod4j.org.eclipse.core filesystem
org.mod4j.org.eclipse.core jobs
org.mod4j.org.eclipse.core resources
org.mod4j.org.eclipse.core runtime
org.mod4j.org.eclipse.core.databinding observable
org.mod4j.org.eclipse.core.databinding property
org.mod4j.org.eclipse.emf common
org.mod4j.org.eclipse.emf ecore
org.mod4j.org.eclipse.emf index
org.mod4j.org.eclipse.emf.ecore xmi
org.mod4j.org.eclipse.equinox app
org.mod4j.org.eclipse.equinox common
org.mod4j.org.eclipse.equinox preferences
org.mod4j.org.eclipse.equinox registry
org.mod4j.org.eclipse.jdt core
org.mod4j.org.eclipse.jface databinding
org.mod4j.org.eclipse.jface text
org.mod4j.org.eclipse.ui editors
org.mod4j.org.eclipse.ui ide
org.mod4j.org.eclipse.ui workbench
org.mod4j.org.eclipse.ui.workbench texteditor
org.mod4j.org.eclipse.xtext log4j
org.mongodb mongo-hadoop-core_0.22.0
org.mongodb mongo-hadoop-core_0.23.1
org.mongodb mongo-hadoop-core_1.0.0
org.mongodb mongo-hadoop-core_1.0.2
org.mongodb mongo-hadoop-core_cdh4b1
org.mongodb mongo-hadoop-pig_0.22.0
org.mongodb mongo-hadoop-pig_0.23.1
org.mongodb mongo-hadoop-pig_1.0.0
org.mongodb mongo-hadoop-pig_1.0.2
org.mongodb mongo-hadoop-pig_cdh4b1
org.mongodb mongo-hadoop-streaming_cdh3u3
org.mongodb mongo-hadoop_0.21.0
org.mongodb mongo-hadoop_0.22.0
org.mongodb mongo-hadoop_0.23.1
org.mongodb mongo-hadoop_1.0.0
org.mongodb mongo-hadoop_1.0.2
org.mongodb mongo-hadoop_cdh4b1
org.mortbay.jetty jetty
org.mule.distributions cloud-connector-dev-kit
org.mule.distributions mule-server
org.mule.ibeans mule-ibeans
org.mule.modules mule-module-shiro
org.mule.tools maven-muleforge-plugin
org.mule.tools mule-cloud-connector-archetype
org.mule.tools mule-cloud-connector-generator
org.mule.tools mule-cloud-connector-generator-maven-plugin
org.mulgara mrg
org.multiverse multiverse-beta
org.mybatis mybatis
org.mybatis mybatis-spring
org.mybatis.scala mybatis-scala-parent
org.nakedobjects application-archetype
org.nakedobjects build
org.nakedobjects headless-applib
org.nakedobjects headless-viewer
org.nakedobjects.core bytecode-cglib
org.nakedobjects.core bytecode-javassist
org.nakedobjects.core metamodel
org.nakedobjects.core remoting
org.nakedobjects.core webapp
org.nakedobjects.core webserver
org.nakedobjects.plugins berkeley-persistor
org.nakedobjects.plugins dnd-client
org.nakedobjects.plugins html
org.nakedobjects.plugins html-client
org.nakedobjects.plugins html-war
org.nakedobjects.plugins html-webapp
org.nakedobjects.plugins sql-persistor
org.nakedosgi naked-scr-master
org.neo4j.3rdparty.javax.ws.rs jsr311-api
org.neo4j.build assembly-pom
org.neodatis neodatis-odb
org.netbeans jemmy
org.netbeans.microedition.lcdui netbeans_midp_components_basic
org.netbeans.microedition.lcdui netbeans_midp_components_pda
org.netbeans.microedition.lcdui netbeans_midp_components_wma
org.nhind config-service-client
org.nhind direct-common
org.nhind xdmail
org.noggit noggit
org.nuiton maven-license-plugin
org.nuiton.thirdparty asm
org.nuiton.thirdparty asm-attrs
org.nuiton.thirdparty asm-util
org.nuiton.thirdparty l2fprod-common
org.nuiton.thirdparty sdoc
org.nutz nutzdoc
org.objectweb.apollon apollon
org.objectweb.apollon apollon-runtime
org.objectweb.carol carol
org.objectweb.clif clif-full
org.objectweb.clif clif-only
org.objectweb.clif clif-without-fractal
org.objectweb.deployment deployment-scheduling
org.objectweb.dream.dreamadl dream-adl
org.objectweb.dream.dreamcore dream-core
org.objectweb.dream.dreamlib dream-lib
org.objectweb.fractal fractal
org.objectweb.fractal.cecilia maven-skin-cecilia
org.objectweb.fractal.fraclet fraclet-annotation
org.objectweb.fractal.fraclet fraclet-annotation-annotations
org.objectweb.fractal.fraclet fraclet-annotation-templates
org.objectweb.fractal.fraclet.annotation parent
org.objectweb.fractal.fractaladl.dumper parent
org.objectweb.fractal.fractaladl.juliac.examples parent
org.objectweb.fractal.fractalexplorer fractal-explorer
org.objectweb.fractal.fractalgui fractal-gui
org.objectweb.fractal.fractaljar fractal-jar
org.objectweb.fractal.fractaljmx fractal-jmx
org.objectweb.fractal.fractaljmx fractal-jmx-tmpl
org.objectweb.fractal.fractalrmi fractal-rmi
org.objectweb.fractal.fractalrmi fractal-rmi-tmpl
org.objectweb.fractal.fractalrmi parent
org.objectweb.fractal.fractalswing fractal-swing
org.objectweb.fractal.fractalswing fractal-swing-tmpl
org.objectweb.fractal.julia juliak
org.objectweb.fractal.juliac.examples advanced
org.objectweb.fractal.juliac.examples basic
org.objectweb.fractal.juliac.osgi.examples parent
org.objectweb.howl howl
org.objectweb.jonas jonas-ant-tasks
org.objectweb.jonas jonas-libraries-security
org.objectweb.jonas jonas-web-container-jetty
org.objectweb.jonas jonas-web-container-tomcat
org.objectweb.jonas.tools jonas-fastrmic
org.objectweb.jonathan jonathan
org.objectweb.joram jcup
org.objectweb.joram jftp
org.objectweb.joram joram-config
org.objectweb.joram joram-gui
org.objectweb.joram joram-kclient
org.objectweb.joram joram-raconfig
org.objectweb.joram joram_ra_for_jonas
org.objectweb.jorm jorm-compiler
org.objectweb.monolog monolog
org.objectweb.monolog monolog-api
org.objectweb.perseus perseus-dependency
org.objectweb.perseus perseus-pool
org.objectweb.petals petals-axismodules
org.objectweb.petals petals-component-common
org.objectweb.petals petals-quality
org.objectweb.petals petals-test
org.objectweb.petals petals-tools-jbi-common
org.objectweb.proactive proactive-programming
org.objectweb.telosys telosys-framework
org.objectweb.think.minus.applications applications
org.objectweb.think.minus.applications parent
org.objectweb.think.minus.applications.L4 arch
org.objectweb.think.minus.tools tools
org.objectweb.tribe tribe
org.objectweb.util commandline
org.objectweb.util.explorer explorer
org.objectweb.util.explorer.plugins explorer-reflector-plugin
org.objectweb.util.misc ow-misc
org.objectweb.util.misc ow-trace
org.objectweb.zeus zeus
org.objenesis objenesis
org.odata4j odata4j-cxf
org.odata4j odata4j-dist
org.odata4j odata4j-fit
org.odata4j odata4j-jersey
org.odata4j odata4j-parent
org.odftoolkit schema2template
org.odftoolkit schema2template-maven-plugin
org.odftoolkit simple-java
org.odftoolkit taglets
org.ojalgo ojalgo
org.omg.profiles.uml14 UML_Standard_Profile
org.omnifaces omnifaces
org.opencms opencms
org.opencms opencms-upload
org.opencms org.opencms.editors.ckeditor
org.opencms org.opencms.editors.fckeditor
org.opencms org.opencms.workplace.administration
org.opencms org.opencms.workplace.tools.accounts
org.opencms org.opencms.workplace.tools.cache
org.opencms org.opencms.workplace.tools.content
org.opencms org.opencms.workplace.tools.database
org.opencms org.opencms.workplace.tools.galleryoverview
org.opencms org.opencms.workplace.tools.history
org.opencms org.opencms.workplace.tools.link
org.opencms org.opencms.workplace.tools.modules
org.opencms org.opencms.workplace.tools.projects
org.opencms org.opencms.workplace.tools.publishqueue
org.opencms org.opencms.workplace.tools.scheduler
org.opencms org.opencms.workplace.tools.searchindex
org.opencms org.opencms.workplace.tools.workplace
org.opencms.modules com.alkacon.opencms.v8.flexible
org.opencms.modules org.opencms.editors.ckeditor
org.opencms.modules org.opencms.editors.editarea
org.opencms.modules org.opencms.editors.tinymce
org.opencms.modules org.opencms.frontend.layoutpage
org.opencms.modules org.opencms.frontend.photoalbum
org.opencms.modules org.opencms.frontend.templateone
org.opencms.modules org.opencms.frontend.templateone.democontent
org.opencms.modules org.opencms.frontend.templateone.form
org.opencms.modules org.opencms.frontend.templateone.modules
org.opencms.modules org.opencms.frontend.templatetwo
org.opencms.modules org.opencms.frontend.templatetwo.demo
org.opencms.modules org.opencms.frontend.templatetwo.demo.content
org.opencms.modules org.opencms.locale.es
org.opencms.modules org.opencms.locale.it
org.opencms.modules org.opencms.locale.ru
org.opencms.modules org.opencms.workplace.categories
org.opencms.modules org.opencms.workplace.demos
org.opencms.modules org.opencms.workplace.demos.list
org.opencms.modules org.opencms.workplace.demos.widget
org.opencms.modules org.opencms.workplace.galleries
org.opencms.modules org.opencms.workplace.handler
org.opencms.modules org.opencms.workplace.help
org.opencms.modules org.opencms.workplace.help.de
org.opencms.modules org.opencms.workplace.help.en
org.opencms.modules org.opencms.workplace.tools.publishqueue
org.opencoweb cowebx-widgets
org.opencredo.couchdb couchdb-si-support
org.opends openDS
org.opengroup ARM_4_0
org.openl.rules openl-simple-project
org.openqa.selenium.core selenium-core
org.openqa.selenium.grid selenium-grid
org.openqa.selenium.grid selenium-grid-core
org.openqa.selenium.grid selenium-grid-hub
org.openqa.selenium.grid selenium-grid-remote-control
org.openrdf elmo
org.opensaml opensaml1
org.openscm.kundo kundo
org.openspml openspml
org.opensymphony.quartz quartz
org.opensymphony.quartz quartz-all
org.opensymphony.quartz quartz-jboss
org.opensymphony.quartz quartz-oracle
org.opensymphony.quartz quartz-weblogic
org.openxdm.xcap openxdm-xcap-client
org.openxdm.xcap openxdm-xcap-commons
org.openxri openxri-client
org.openxri openxri-syntax
org.opf-labs.planets planets-services
org.ops4j.gaderian gaderian
org.ops4j.pax jdbc
org.orbroker orbroker_2.9.2
org.org-libs org-lib-usurper
org.osgi org.osgi.enterprise
org.osgi osgi_R4_compendium
org.osgi osgi_R4_core
org.osgi.compendium 
org.osgi.enterprise 
org.osgilab.bundles jmx
org.osgilab.bundles monitoradmin
org.osgilab.bundles.shell equinox
org.osgilab.bundles.shell felix
org.osgilab.bundles.shell knopflerfish
org.osgilab.testing commons
org.ostermiller utils
org.outerj.daisy daisy-htmlcleaner
org.outerj.daisy daisy-util
org.outerj.xreporter xreporter-grouping
org.ow2.bonita bonita-build
org.ow2.bonita bonita-server
org.ow2.bonita bonita-templates
org.ow2.carol.cmi cmi-assembly
org.ow2.chameleon connection-factory-service
org.ow2.chameleon org.osgi.service.datasource
org.ow2.chameleon.chat jabber
org.ow2.chameleon.syndication rome
org.ow2.chameleon.twitter twitter-service
org.ow2.chameleon.twitter twitter4j
org.ow2.contrail contrail
org.ow2.contrail.federation federation-id-db
org.ow2.dragon dragon-quality
org.ow2.easybeans easybeans-plugins-osgi
org.ow2.easybeans quartz
org.ow2.easybeans.tests easybeans-tests-applications
org.ow2.easybeans.tests easybeans-tests-osgi
org.ow2.fractal.distribution fractal-distribution
org.ow2.fractal.distribution.parent.website 
org.ow2.fractal.distribution.parent.website parent-website
org.ow2.frascati frascati-xquery
org.ow2.frascati.examples helloworld-auth
org.ow2.frascati.examples.scala helloworld-annotated
org.ow2.frascati.examples.scala helloworld-bean
org.ow2.frascati.examples.scala helloworld-pojo
org.ow2.frascati.intent frascati-authentication
org.ow2.frascati.tinfi frascati-membranes-parent
org.ow2.ipojo ipojo-toolkit-parent
org.ow2.jasmine agent.assemblies
org.ow2.jasmine agent.utils
org.ow2.jasmine doc
org.ow2.jasmine zookeeper
org.ow2.jasmine.jade fractal-deployment-local-api
org.ow2.jasmine.jade jade-fractal
org.ow2.jasmine.jade ow_velocity_for_jade
org.ow2.jasmine.jade.control JoramOptimizationBundle
org.ow2.jasmine.probe itests-modules
org.ow2.jasmine.rules jonas-rules
org.ow2.jasmine.rules modules
org.ow2.jonas jonas-jndi
org.ow2.jonas jonas-multitenant
org.ow2.jonas jonas-ssh
org.ow2.jonas.asm asm
org.ow2.jonas.assemblies.profiles addons
org.ow2.jonas.assemblies.profiles legacy
org.ow2.jonas.cxf.transport.reliablejms examples-ejb_mdb-assemblies
org.ow2.jonas.cxf.transport.reliablejms examples-spring_mdp
org.ow2.jonas.installer.rpm jonas-rpm-installer-parent
org.ow2.kerneos kerneos-common
org.ow2.lewys lewys-with-dependencies
org.ow2.maven.skin maven-skin-ow2
org.ow2.mind mind-maven-skin
org.ow2.odis OdisConnectionJoram
org.ow2.odis OdisConnectionSql
org.ow2.opensuit opensuit-quality
org.ow2.orchestra orchestra-osgi
org.ow2.petals petals-cdk
org.ow2.proactive proactive-virtualizing-core
org.ow2.scarbo.service service-bonita4-impl
org.ow2.scarbo.service service-bonita4-parent
org.ow2.scarbo.service service-bonita4-servlet
org.ow2.scarbo.service service-bonita4-standalone
org.ow2.util.maven maven-osgi-plugin-launcher-test
org.ow2.weblab helpers
org.ow2.weblab tag
org.ow2.weblab.portlets weblab-portlet
org.ow2.wildcat wildcat-assemblies
org.owasp.esapi.contrib esapi-contrib-parent
org.owasp.esapi.contrib esapi-spring-authenticator
org.owasp.esapi.contrib esapi-spring-encryptedproperties
org.papoose.osgi OSGi_R4_v4.1_cmpn_root
org.papoose.osgi OSGi_R4_v4.1_cmpn_spec
org.papoose.osgi OSGi_R4_v4.1_core_spec
org.papoose.osgi OSGi_R4_v4.2_core_spec
org.parancoe parancoe-pluginarchetype
org.perfidix perfidix
org.piccolo2d piccolo2d-core
org.picocontainer picocontainer-booter
org.picocontainer picocontainer-site-resources
org.pietschy wizard
org.ploin.pmf ploinMailFactory
org.ploin.web ploinFaces
org.prefuse demos
org.projectlombok lombok.ast
org.pushing-pixels trident
org.pushingpixels flamengo
org.pushingpixels trident
org.qooxdoo qooxdoo-archetype-gui
org.qooxdoo qooxdoo-build-tool
org.quattor.pan panc-maven-archetype
org.quickserver quickserver
org.randombits.facade facade
org.randombits.storage storage
org.randombits.storage storage-parameters
org.randombits.storage storage-servlet
org.randombits.utils rb-utils
org.rcfaces org.rcfaces.core
org.rcfaces org.rcfaces.html
org.reddwarfserver.ext.berkeleydb db
org.reddwarfserver.ext.berkeleydb db-binaries
org.reddwarfserver.maven.plugin sgs-maven-plugin
org.reddwarfserver.tools.build sgs-build-utilities
org.redkangaroo.maven.plugins rb-generator-plugin
org.resthub springmvc-router
org.rhq.helpers rhq-helpers
org.robobinding.plugins robobinding-validator
org.robotframework remoteapplications
org.rococoa rococoa-cocoa
org.rococoa rococoa-contrib
org.rococoa rococoa-core
org.rococoa rococoa-functionaltest
org.rococoa rococoa-parent
org.romaframework roma-chart-jfreechart
org.romaframework roma-console
org.romaframework roma-core
org.romaframework roma-frontend
org.romaframework roma-mail
org.romaframework roma-persistence-datanucleus
org.romaframework roma-project-web
org.romaframework roma-reporting-jr
org.romaframework roma-scheduler-quartz
org.romaframework roma-users
org.romaframework roma-view-janiculum
org.romaframework roma-wizard
org.rometools rome-certiorem
org.rometools rome-fetcher
org.rometools rome-modules
org.rometools rome-opml
org.rxtx rxtx
org.rxtx rxtxcomm
org.safehaus.jug jug
org.safris.xml bind-builder-ant
org.safris.xml bind-builder-maven
org.safris.xml bind-generator
org.safris.xml bind-runtime
org.sakaiproject.delegatedaccess delegatedaccess
org.sakaiproject.nakamura org.sakaiproject.nakamura.uxloader-wrap
org.sameas sameas4j
org.sapia sapia_archie
org.sapia sapia_clazzy
org.sapia sapia_console
org.sapia sapia_corus_interop_parent
org.sapia sapia_corus_iop
org.sapia sapia_corus_iop_api
org.sapia sapia_qool
org.sapia sapia_regis
org.sapia sapia_vlad
org.scala-lang scala-db
org.scala-lang.virtualized jline
org.scala-lang.virtualized scala-actors
org.scala-lang.virtualized scala-compiler
org.scala-lang.virtualized scala-library
org.scala-lang.virtualized scala-partest
org.scala-lang.virtualized scala-swing
org.scala-lang.virtualized scalap
org.scala-lang.virtualized.plugins continuations
org.scala-libs scalajpa_2.9.0
org.scala-libs scalajpa_2.9.0-1
org.scala-libs scalajpa_2.9.1
org.scala-refactoring org.scala-refactoring
org.scala-refactoring org.scala-refactoring_${scala.version}
org.scala-refactoring org.scala-refactoring_2.9.1
org.scala-tools scala-mojo-support
org.scala-tools scala-stm_2.9.0.RC1
org.scala-tools scala-stm_2.9.0.RC3
org.scala-tools scala-stm_2.9.0.RC4
org.scala-tools subcut_2.8.0
org.scala-tools subcut_2.8.1
org.scala-tools subcut_2.9.0-1
org.scala-tools.archetypes scala-archetype-simple
org.scala-tools.javautils javautils_2.7.5
org.scala-tools.javautils javautils_2.7.6
org.scala-tools.javautils javautils_2.7.7
org.scala-tools.sbinary sbinary_2.7.2
org.scala-tools.sbinary sbinary_2.7.3
org.scala-tools.sbinary sbinary_2.7.4
org.scala-tools.sbinary sbinary_2.7.5
org.scala-tools.sbinary sbinary_2.8.0
org.scala-tools.sbinary sbinary_2.8.1
org.scala-tools.sbinary sbinary_2.9.0
org.scala-tools.sbt installer-plugin_2.7.5
org.scala-tools.sbt process
org.scala-tools.sindi sindi-compiler_2.9.0-1
org.scala-tools.sindi sindi-compiler_2.9.1
org.scala-tools.sindi sindi-core_2.9.0-1
org.scala-tools.sindi sindi-core_2.9.1
org.scala-tools.sindi sindi_2.8.1
org.scala-tools.sindi sindi_2.9.1.RC2
org.scala-tools.subcut subcut_2.9.0
org.scala-tools.subcut subcut_2.9.0-1
org.scala-tools.subcut subcut_2.9.1
org.scala-tools.sxr sxr_2.8.0
org.scala-tools.sxr sxr_2.8.0-SNAPSHOT
org.scala-tools.sxr sxr_2.8.0.RC1
org.scala-tools.sxr sxr_2.8.0.RC2
org.scala-tools.sxr sxr_2.8.0.RC7
org.scala-tools.sxr sxr_2.8.1
org.scala-tools.sxr sxr_2.9.0
org.scala-tools.testing scalacheck_2.7.2
org.scala-tools.testing scalacheck_2.7.3
org.scala-tools.testing scalacheck_2.7.4
org.scala-tools.testing scalacheck_2.7.5
org.scala-tools.testing scalacheck_2.7.6
org.scala-tools.testing scalacheck_2.7.7
org.scala-tools.testing scalacheck_2.8.0
org.scala-tools.testing scalacheck_2.8.0.RC1
org.scala-tools.testing scalacheck_2.8.0.RC2
org.scala-tools.testing scalacheck_2.8.0.RC3
org.scala-tools.testing scalacheck_2.8.0.RC4
org.scala-tools.testing scalacheck_2.8.0.RC5
org.scala-tools.testing scalacheck_2.8.0.RC6
org.scala-tools.testing scalacheck_2.8.0.RC7
org.scala-tools.testing scalacheck_2.9.0-1
org.scala-tools.testing scalacheck_2.9.0-SNAPSHOT
org.scala-tools.testing scalacheck_2.9.0.RC1
org.scala-tools.testing scalacheck_2.9.0.RC2
org.scala-tools.testing scalacheck_2.9.0.RC3
org.scala-tools.testing scalacheck_2.9.1
org.scala-tools.testing scalacheck_2.9.1.RC2
org.scala-tools.testing scalacheck_2.9.1.RC3
org.scala-tools.testing specs-2.8.0.Beta1-RC6
org.scala-tools.testing specs_2.7.5
org.scala-tools.testing specs_2.7.7
org.scala-tools.testing specs_2.8.0
org.scala-tools.testing specs_2.8.0.Beta1-RC7
org.scala-tools.testing specs_2.8.0.Beta1-RC8
org.scala-tools.testing specs_2.8.1.RC1
org.scala-tools.testing specs_2.8.1.RC2
org.scala-tools.testing specs_2.8.1.RC3
org.scala-tools.testing specs_2.8.1_java_1.5
org.scala-tools.testing specs_2.8.2
org.scala-tools.testing specs_2.9.0
org.scala-tools.testing specs_2.9.0-1
org.scala-tools.testing specs_2.9.1
org.scala-tools.testing sweet_2.7.2
org.scala-tools.testing sweet_2.7.3
org.scala-tools.testing sweet_2.7.4
org.scala-tools.testing sweet_2.7.6
org.scala-tools.testing sweet_2.7.7
org.scala-tools.testing sweet_2.8.0.Beta1-RC2
org.scala-tools.time time_2.7.5
org.scala-tools.time time_2.7.6
org.scala-tools.time time_2.7.7
org.scala-tools.time time_2.9.1
org.scalacheck scalacheck_2.8.0
org.scalacheck scalacheck_2.8.1
org.scalaforge scalax
org.scalafy scalafy_2.9.1
org.scalaj scalaj-collection_2.9.1
org.scalaj scalaj-http_2.9.2
org.scalala scalala_2.8.2
org.scalala scalala_2.9.1
org.scalamock scalamock_2.10.0-M4
org.scalamock scalamock_2.10.0-M5
org.scalanlp scalanlp-data_2.9.1
org.scalanlp scalanlp-graphs_2.9.1
org.scalanlp scalanlp-learn_2.9.1
org.scalaperf scalaperf_2.9.1
org.scalaquery scalaquery_2.9.0.RC2
org.scalaquery scalaquery_2.9.1
org.scalaquery scalaquery_2.9.1-1
org.scalariform scalariform_2.10.0-SNAPSHOT
org.scalariform scalariform_2.8.2-SNAPSHOT
org.scalariform scalariform_2.8.3-SNAPSHOT
org.scalariform scalariform_2.9.0-1
org.scalariform scalariform_2.9.1-SNAPSHOT
org.scalariform scalariform_2.9.2
org.scalastuff scalabeans_2.8.1
org.scalastuff scalabeans_2.9.0
org.scalatest scalatest_2.9.0.RC3
org.scalatest scalatest_2.9.0.RC4
org.scalatra scalatra
org.scalatra scalatra-akka
org.scalatra scalatra-akka_2.8.1
org.scalatra scalatra-akka_2.8.2
org.scalatra scalatra-akka_2.9.0-1
org.scalatra scalatra-akka_2.9.1
org.scalatra scalatra-anti-xml
org.scalatra scalatra-anti-xml_2.8.2.RC1
org.scalatra scalatra-anti-xml_2.9.1.RC4
org.scalatra scalatra-auth
org.scalatra scalatra-auth_2.8.2.RC1
org.scalatra scalatra-auth_2.9.1.RC4
org.scalatra scalatra-docs
org.scalatra scalatra-docs_2.8.1
org.scalatra scalatra-docs_2.8.2
